,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.3,0.56625,0.625,0.65,0.74,0.74,0.8725,0.96125,0.98,0.99625,0.99875,1.0,1.0,1.0,1.0,0.99875,0.99875
11,0.3,0.63,0.65,0.65,0.65,0.65,0.7475,0.92625,0.955,0.955,0.9975,1.0,1.0,1.0,1.0,1.0,1.0
12,0.3,0.485,0.64875,0.65,0.65,0.7,0.7475,0.88875,0.955,0.995,0.99875,1.0,1.0,1.0,1.0,1.0,1.0
13,0.3,0.56625,0.65,0.65,0.65,0.79125,0.92875,0.9525,0.97625,0.97625,0.99875,1.0,1.0,1.0,1.0,1.0,1.0
14,0.3,0.63875,0.65,0.65,0.65,0.7475,0.8875,0.93375,0.9775,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.39125,0.54375,0.645,0.65,0.65,0.65,0.77875,0.93,0.95625,0.99375,0.99875,1.0,1.0,1.0,1.0,1.0,1.0
16,0.3,0.62375,0.65,0.65,0.65,0.65,0.82625,0.88875,0.96625,0.99625,0.99625,0.99875,1.0,1.0,1.0,1.0,0.99875
17,0.39125,0.45875,0.585,0.65,0.69375,0.7875,0.935,0.93625,0.99,0.995,0.99875,0.99875,1.0,1.0,1.0,1.0,1.0
18,0.3,0.5875,0.65,0.65,0.65,0.65,0.78625,0.9275,0.96125,0.9875,0.99625,0.99875,0.99875,1.0,1.0,1.0,0.99875
19,0.3,0.64375,0.65,0.65,0.65,0.6975,0.86625,0.93125,0.975,0.99625,0.99875,0.99875,1.0,1.0,1.0,1.0,1.0
20,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.65,0.74875,0.9625,0.99625,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.62875,0.67625,0.8375,0.8625,0.84625,0.83375,0.85375,0.87125,0.8725,0.90625,0.97875,0.98375,0.9925,0.9925,0.99875,0.99875,0.99875
31,0.52125,0.545,0.71,0.82125,0.8175,0.865,0.88875,0.925,0.925,0.95,0.96625,0.9775,0.9925,0.995,0.995,0.99875,0.99875
32,0.605,0.69,0.74,0.80875,0.8175,0.8475,0.89,0.90375,0.92625,0.92625,0.9325,0.945,0.945,0.9475,0.98875,0.9975,0.99875
33,0.66625,0.71625,0.71,0.8375,0.8725,0.86125,0.89,0.9375,0.94,0.97875,0.98125,0.97625,0.985,0.985,0.99875,0.99875,0.99875
34,0.4175,0.575,0.66875,0.74,0.83625,0.85,0.91125,0.92125,0.92,0.93625,0.93625,0.99125,0.9975,0.99625,0.99875,0.99875,0.99875
35,0.3825,0.55625,0.5925,0.89625,0.88625,0.87375,0.87375,0.90625,0.93625,0.93375,0.9625,0.97375,0.99625,1.0,1.0,1.0,1.0
36,0.53625,0.66875,0.745,0.75125,0.83375,0.845,0.86625,0.9,0.9425,0.9425,0.95125,0.98125,0.99625,0.99875,1.0,1.0,1.0
37,0.6625,0.755,0.84125,0.88,0.86375,0.88625,0.915,0.925,0.93625,0.94375,0.97625,0.995,0.99875,0.9975,0.99875,0.99875,0.99875
38,0.55375,0.71375,0.80625,0.86375,0.92375,0.94625,0.975,0.98125,0.995,0.995,0.99375,0.99625,0.99625,0.99625,0.99875,1.0,1.0
39,0.41375,0.725,0.855,0.8625,0.8525,0.95625,0.99375,0.99375,0.9875,0.9875,0.97875,0.99625,0.99625,0.99625,0.9975,0.9975,1.0
