,0
0,0.96
1,0.995
2,0.995
3,0.995
4,0.995
5,0.995
6,0.995
7,0.995
8,0.995
9,0.995
10,0.995
11,0.995
12,0.995
13,0.995
14,0.995
15,0.995
16,0.995
17,0.85
18,0.85
19,0.85
20,0.85
21,0.93
22,0.99
23,0.99
24,0.995
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,0.96
35,0.995
36,0.995
37,0.995
38,0.995
39,0.995
40,0.995
41,0.995
42,0.995
43,0.995
44,0.995
45,0.995
46,0.995
47,0.995
48,0.995
49,0.995
50,0.995
51,0.85
52,0.96
53,0.965
54,0.965
55,0.965
56,0.965
57,1.0
58,1.0
59,1.0
60,0.995
61,0.995
62,0.995
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
