,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.8975,0.935,0.99125,0.99375,0.98875,0.9875,0.98625,0.985,0.98625,0.98625,0.9875,0.9825,0.98625,0.98625,0.98625,0.98625,0.98625
1,0.8975,0.935,0.99125,0.99375,0.98875,0.9875,0.98625,0.985,0.98625,0.98625,0.9875,0.9825,0.98625,0.98625,0.98625,0.98625,0.98625
2,0.8975,0.935,0.99125,0.99375,0.98875,0.9875,0.98625,0.985,0.98625,0.98625,0.9875,0.9825,0.98625,0.98625,0.98625,0.98625,0.98625
3,0.8975,0.935,0.99125,0.99375,0.98875,0.9875,0.98625,0.985,0.98625,0.98625,0.9875,0.9825,0.98625,0.98625,0.98625,0.98625,0.98625
4,0.8975,0.935,0.99125,0.99375,0.98875,0.9875,0.98625,0.985,0.98625,0.98625,0.9875,0.9825,0.98625,0.98625,0.98625,0.98625,0.98625
5,0.8975,0.935,0.99125,0.99375,0.98875,0.9875,0.98625,0.985,0.98625,0.98625,0.9875,0.9825,0.98625,0.98625,0.98625,0.98625,0.98625
6,0.8975,0.935,0.99125,0.99375,0.98875,0.9875,0.98625,0.985,0.98625,0.98625,0.9875,0.9825,0.98625,0.98625,0.98625,0.98625,0.98625
7,0.8975,0.935,0.99125,0.99375,0.98875,0.9875,0.98625,0.985,0.98625,0.98625,0.9875,0.9825,0.98625,0.98625,0.98625,0.98625,0.98625
8,0.8975,0.935,0.99125,0.99375,0.98875,0.9875,0.98625,0.985,0.98625,0.98625,0.9875,0.9825,0.98625,0.98625,0.98625,0.98625,0.98625
9,0.8975,0.935,0.99125,0.99375,0.98875,0.9875,0.98625,0.985,0.98625,0.98625,0.9875,0.9825,0.98625,0.98625,0.98625,0.98625,0.98625
10,0.8725,0.9125,0.97625,0.97375,0.98875,0.98625,0.99125,0.99,0.99,0.99,0.99,0.9925,0.99,0.99,0.99,0.98875,0.99125
11,0.8725,0.9125,0.97625,0.97375,0.98875,0.98625,0.99125,0.99,0.99,0.99,0.99,0.9925,0.99,0.99,0.99,0.98875,0.99125
12,0.8725,0.9125,0.97625,0.97375,0.98875,0.98625,0.99125,0.99,0.99,0.99,0.99,0.9925,0.99,0.99,0.99,0.98875,0.99125
13,0.8725,0.9125,0.97625,0.97375,0.98875,0.98625,0.99125,0.99,0.99,0.99,0.99,0.9925,0.99,0.99,0.99,0.98875,0.99125
14,0.8725,0.9125,0.97625,0.97375,0.98875,0.98625,0.99125,0.99,0.99,0.99,0.99,0.9925,0.99,0.99,0.99,0.98875,0.99125
15,0.8725,0.9125,0.97625,0.97375,0.98875,0.98625,0.99125,0.99,0.99,0.99,0.99,0.9925,0.99,0.99,0.99,0.98875,0.99125
16,0.8725,0.9125,0.97625,0.97375,0.98875,0.98625,0.99125,0.99,0.99,0.99,0.99,0.9925,0.99,0.99,0.99,0.98875,0.99125
17,0.8725,0.9125,0.97625,0.97375,0.98875,0.98625,0.99125,0.99,0.99,0.99,0.99,0.9925,0.99,0.99,0.99,0.98875,0.99125
18,0.8725,0.9125,0.97625,0.97375,0.98875,0.98625,0.99125,0.99,0.99,0.99,0.99,0.9925,0.99,0.99,0.99,0.98875,0.99125
19,0.8725,0.9125,0.97625,0.97375,0.98875,0.98625,0.99125,0.99,0.99,0.99,0.99,0.9925,0.99,0.99,0.99,0.98875,0.99125
20,0.88625,0.94625,0.98875,0.98875,0.9875,0.9925,0.9925,0.9925,0.99125,0.99125,0.99125,0.985,0.985,0.985,0.985,0.985,0.985
21,0.88625,0.94625,0.98875,0.98875,0.9875,0.9925,0.9925,0.9925,0.99125,0.99125,0.99125,0.985,0.985,0.985,0.985,0.985,0.985
22,0.88625,0.94625,0.98875,0.98875,0.9875,0.9925,0.9925,0.9925,0.99125,0.99125,0.99125,0.985,0.985,0.985,0.985,0.985,0.985
23,0.88625,0.94625,0.98875,0.98875,0.9875,0.9925,0.9925,0.9925,0.99125,0.99125,0.99125,0.985,0.985,0.985,0.985,0.985,0.985
24,0.88625,0.94625,0.98875,0.98875,0.9875,0.9925,0.9925,0.9925,0.99125,0.99125,0.99125,0.985,0.985,0.985,0.985,0.985,0.985
25,0.88625,0.94625,0.98875,0.98875,0.9875,0.9925,0.9925,0.9925,0.99125,0.99125,0.99125,0.985,0.985,0.985,0.985,0.985,0.985
26,0.88625,0.94625,0.98875,0.98875,0.9875,0.9925,0.9925,0.9925,0.99125,0.99125,0.99125,0.985,0.985,0.985,0.985,0.985,0.985
27,0.88625,0.94625,0.98875,0.98875,0.9875,0.9925,0.9925,0.9925,0.99125,0.99125,0.99125,0.985,0.985,0.985,0.985,0.985,0.985
28,0.88625,0.94625,0.98875,0.98875,0.9875,0.9925,0.9925,0.9925,0.99125,0.99125,0.99125,0.985,0.985,0.985,0.985,0.985,0.985
29,0.88625,0.94625,0.98875,0.98875,0.9875,0.9925,0.9925,0.9925,0.99125,0.99125,0.99125,0.985,0.985,0.985,0.985,0.985,0.985
30,0.735,0.88,0.85625,0.965,0.9775,0.9875,0.9875,0.9875,0.9875,0.9875,0.99,0.99125,0.99125,0.99125,0.99125,0.98875,0.99
31,0.85,0.91625,0.9775,0.98125,0.97,0.97,0.96875,0.97125,0.97125,0.97125,0.97125,0.97125,0.98125,0.98375,0.98375,0.98875,0.98625
