,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
1,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
2,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
3,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
4,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
5,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
6,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
7,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
8,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
9,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
10,0.85,0.85,0.85,0.85,0.94,0.9975,0.9975,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.85,0.85,0.85,0.85,0.94,0.9975,0.9975,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.85,0.85,0.85,0.85,0.94,0.9975,0.9975,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.85,0.85,0.85,0.85,0.94,0.9975,0.9975,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.85,0.85,0.85,0.85,0.94,0.9975,0.9975,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.85,0.85,0.85,0.85,0.94,0.9975,0.9975,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.85,0.85,0.85,0.85,0.94,0.9975,0.9975,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.85,0.85,0.85,0.85,0.94,0.9975,0.9975,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.85,0.85,0.85,0.85,0.94,0.9975,0.9975,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.85,0.85,0.85,0.85,0.94,0.9975,0.9975,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
21,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
22,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
23,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
24,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
25,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
26,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
27,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
28,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
29,0.965,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
30,0.85,0.98375,0.98375,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,0.50625,0.97375,0.95875,0.99125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,0.85,0.95125,0.95,0.94125,0.96625,0.9825,0.9825,0.9825,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.99875,0.99875,0.99875
33,0.99125,0.99125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,0.85,0.945,0.97125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,0.94875,0.97375,0.97125,0.9775,0.9775,0.9775,0.99,0.99,0.99,0.99,0.99,0.99,0.9975,0.9975,0.9975,1.0,0.9975
36,0.96875,0.87125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,0.85,0.85,0.9325,0.9325,0.9325,0.965,0.995,0.995,0.99625,0.99625,0.99625,0.99875,0.99875,0.99875,0.99875,0.99875,0.99875
38,0.85,0.85,0.85,0.92125,0.9775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,0.85,0.96125,0.9675,0.9675,0.9675,0.9675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
