,0
0,0.65
1,0.76
2,0.97
3,0.995
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,0.3
18,0.645
19,0.65
20,0.65
21,0.65
22,0.69
23,0.855
24,0.91
25,0.96
26,0.995
27,0.995
28,0.995
29,1.0
30,1.0
31,1.0
32,0.995
33,0.995
34,0.65
35,0.76
36,0.97
37,0.995
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,0.41
52,0.715
53,0.845
54,0.85
55,0.85
56,0.95
57,0.99
58,0.99
59,0.99
60,0.99
61,0.985
62,0.995
63,0.995
64,0.99
65,0.995
66,0.995
67,1.0
