,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.995,0.98625,0.98125,0.98125,0.9825,0.98625,0.98875,0.98875,0.98875,0.98875,0.98875,0.99,0.99,0.99,0.99125,0.99125,0.99125
1,0.995,0.98625,0.98125,0.98125,0.9825,0.98625,0.98875,0.98875,0.98875,0.98875,0.98875,0.99,0.99,0.99,0.99125,0.99125,0.99125
2,0.995,0.98625,0.98125,0.98125,0.9825,0.98625,0.98875,0.98875,0.98875,0.98875,0.98875,0.99,0.99,0.99,0.99125,0.99125,0.99125
3,0.995,0.98625,0.98125,0.98125,0.9825,0.98625,0.98875,0.98875,0.98875,0.98875,0.98875,0.99,0.99,0.99,0.99125,0.99125,0.99125
4,0.995,0.98625,0.98125,0.98125,0.9825,0.98625,0.98875,0.98875,0.98875,0.98875,0.98875,0.99,0.99,0.99,0.99125,0.99125,0.99125
5,0.995,0.98625,0.98125,0.98125,0.9825,0.98625,0.98875,0.98875,0.98875,0.98875,0.98875,0.99,0.99,0.99,0.99125,0.99125,0.99125
6,0.995,0.98625,0.98125,0.98125,0.9825,0.98625,0.98875,0.98875,0.98875,0.98875,0.98875,0.99,0.99,0.99,0.99125,0.99125,0.99125
7,0.995,0.98625,0.98125,0.98125,0.9825,0.98625,0.98875,0.98875,0.98875,0.98875,0.98875,0.99,0.99,0.99,0.99125,0.99125,0.99125
8,0.995,0.98625,0.98125,0.98125,0.9825,0.98625,0.98875,0.98875,0.98875,0.98875,0.98875,0.99,0.99,0.99,0.99125,0.99125,0.99125
9,0.995,0.98625,0.98125,0.98125,0.9825,0.98625,0.98875,0.98875,0.98875,0.98875,0.98875,0.99,0.99,0.99,0.99125,0.99125,0.99125
10,0.99,0.99125,0.99625,0.995,0.9925,0.99375,0.9925,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.9925,0.9925,0.9925
11,0.99,0.99125,0.99625,0.995,0.9925,0.99375,0.9925,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.9925,0.9925,0.9925
12,0.99,0.99125,0.99625,0.995,0.9925,0.99375,0.9925,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.9925,0.9925,0.9925
13,0.99,0.99125,0.99625,0.995,0.9925,0.99375,0.9925,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.9925,0.9925,0.9925
14,0.99,0.99125,0.99625,0.995,0.9925,0.99375,0.9925,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.9925,0.9925,0.9925
15,0.99,0.99125,0.99625,0.995,0.9925,0.99375,0.9925,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.9925,0.9925,0.9925
