,0
0,0.9
1,0.95
2,0.985
3,0.98
4,0.98
5,0.98
6,0.98
7,0.98
8,0.98
9,0.98
10,0.98
11,0.98
12,0.98
13,0.98
14,0.98
15,0.98
16,0.98
17,0.9
18,0.9
19,0.9
20,0.9
21,0.9
22,0.95
23,0.95
24,0.95
25,0.95
26,0.95
27,0.95
28,0.95
29,0.95
30,0.95
31,0.95
32,0.97
33,0.97
34,0.9
35,0.95
36,0.98
37,0.99
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,0.9
52,0.8
53,0.91
54,0.91
55,0.91
56,0.91
57,0.92
58,0.925
59,0.975
60,0.975
61,0.975
62,0.975
63,0.975
64,0.975
65,0.975
66,0.98
67,0.98
