,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.4555,0.486125,0.500375,0.508125,0.522,0.5325,0.544125,0.554625,0.562,0.579375,0.6,0.615125,0.63575,0.652
1,0.36575,0.412625,0.431,0.443,0.492125,0.505625,0.523,0.5385,0.550125,0.573125,0.593,0.610875,0.630625,0.648125
2,0.365375,0.4135,0.424375,0.44575,0.491625,0.507375,0.522375,0.5415,0.549375,0.576125,0.593,0.611875,0.631875,0.649125
3,0.30275,0.369,0.414125,0.438125,0.47025,0.50575,0.52675,0.537625,0.554875,0.579375,0.603625,0.615125,0.633875,0.652
