,0,1,2,3,4,5,6,7,8,9
0,0.090375,0.129625,0.161,0.17875,0.19675,0.211125,0.231625,0.246,0.258125,0.2695
1,0.09225,0.119625,0.145125,0.162,0.174875,0.18375,0.206875,0.222375,0.237,0.2505
2,0.085625,0.121125,0.1435,0.15675,0.16775,0.185125,0.199375,0.21475,0.23075,0.24325
3,0.074375,0.094125,0.117625,0.136375,0.157625,0.17325,0.19175,0.212125,0.222875,0.23575
