,0
0,0.99
1,0.975
2,0.975
3,0.975
4,0.975
5,0.98
6,0.98
7,0.98
8,0.98
9,0.98
10,0.98
11,0.98
12,0.98
13,0.98
14,0.98
15,0.98
16,0.98
17,0.985
18,0.985
19,0.99
20,0.985
21,0.99
22,0.985
23,0.98
24,0.98
25,0.98
26,0.98
27,0.98
28,0.98
29,0.98
30,0.98
31,0.98
32,0.98
33,0.98
34,0.99
35,0.99
36,0.985
37,0.985
38,0.985
39,0.985
40,0.98
41,0.98
42,0.98
43,0.98
44,0.98
45,0.98
46,0.98
47,0.98
48,0.98
49,0.98
50,0.98
51,0.73
52,0.725
53,0.75
54,0.975
55,0.975
56,0.975
57,0.955
58,0.97
59,0.98
60,0.98
61,0.98
62,0.98
63,0.97
64,0.97
65,0.97
66,0.97
67,0.97
